aws0_5,aws5_20,aws20_50,aws50_100,aws100_150,aws150_999,aws0_20,aws0_30,aws0_100,aws0_150,aws0_999,tk0_5a,tk5_20a,tk20_50a,tk50_100a,tk100_150a,tk150_999a,tk0_20a,tk0_30a,tk0_100a,tk0_150a,tk0_999a,musumcpcta,soc0_5,soc5_20,soc20_50,soc50_100,soc100_150,soc150_999,soc0_20,soc0_30,soc0_100,soc0_150,soc0_999,tk0_5s,tk5_20s,tk20_50s,tk50_100s,tk100_150s,tk150_999s,tk0_20s,tk0_30s,tk0_100s,tk0_150s,tk0_999s,musumcpcts,nccpi3corn,nccpi3soy,nccpi3cot,nccpi3sg,nccpi3all,pctearthmc,rootznemc,rootznaws,droughty,pwsl1pomu,musumcpct,mukey
2.200000047683716,6.599999904632568,4.400000095367432,NA,NA,NA,8.800000190734863,13.199999809265137,13.199999809265137,13.199999809265137,13.199999809265137,2.75,8.25,5.5,NA,NA,NA,11,16.5,16.5,16.5,16.5,55,274,821,547,NA,NA,NA,1095,1642,1642,1642,1642,2.75,8.25,5.5,NA,NA,NA,11,16.5,16.5,16.5,16.5,55,0.014999999664723873,0.012000000104308128,0.0010000000474974513,0.023000000044703484,0.023000000044703484,55,30,24,1,NA,100,1425287
3.819999933242798,13.279999732971191,10.600000381469727,1.0499999523162842,NA,NA,17.100000381469727,20.850000381469727,28.75,28.75,28.75,4.25,12.75,7.5,5.25,NA,NA,17,19.5,29.75,29.75,29.75,85,302,844,311,NA,NA,NA,1146,1270,1457,1457,1457,4.25,12.75,7,NA,NA,NA,17,19.5,24,24,24,85,0.00800000037997961,0.008999999612569809,0.009999999776482582,0.020999999716877937,0.020999999716877937,85,28,32,1,NA,100,1425688
3.200000047683716,12.109999656677246,18.079999923706055,1.4700000286102295,NA,NA,15.300000190734863,23.790000915527344,34.849998474121094,34.849998474121094,34.849998474121094,3.549999952316284,10.649999618530273,14.100000381469727,7.349999904632568,NA,NA,14.199999809265137,21.299999237060547,35.650001525878906,35.650001525878906,35.650001525878906,71,259,673,690,NA,NA,NA,932,1359,1622,1622,1622,3.549999952316284,10.649999618530273,13.399999618530273,NA,NA,NA,14.199999809265137,21.299999237060547,27.600000381469727,27.600000381469727,27.600000381469727,71,0.03500000014901161,0.052000001072883606,0.035999998450279236,0.07800000160932541,0.07800000160932541,71,39,47,1,NA,100,1426117
8.550000190734863,25.649999618530273,50.939998626708984,76.5,54,2.1600000858306885,34.20000076293945,51.29999923706055,161.63999938964844,215.63999938964844,217.8000030517578,4.5,13.5,27,45,45,1.7999999523162842,18,27,90,135,136.8000030517578,90,510,1531,2948,2265,2296,92,2041,3062,7255,9550,9642,4.5,13.5,27,45,45,1.7999999523162842,18,27,90,135,136.8000030517578,90,0.0010000000474974513,0.05999999865889549,0.23000000417232513,0.20800000429153442,0.23000000417232513,90,150,240,0,NA,100,1427767
4.800000190734863,16,17.600000381469727,25.68000030517578,28,1.1200000047683716,20.799999237060547,28.799999237060547,64.08000183105469,92.08000183105469,93.19999694824219,4,12,24,40,40,1.600000023841858,16,24,80,120,121.5999984741211,80,68,188,200,288,299,12,256,344,745,1043,1055,4,12,24,40,40,1.600000023841858,16,24,80,120,121.5999984741211,80,0.04399999976158142,0.1340000033378601,0.10000000149011612,0.16300000250339508,0.16300000250339508,80,150,115,1,NA,100,1427768
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,100,1427770
5.099999904632568,15.300000190734863,30.600000381469727,51,51,2.0399999618530273,20.399999618530273,30.600000381469727,102,153,155.0399932861328,4.25,12.75,25.5,42.5,42.5,1.7000000476837158,17,25.5,85,127.5,129.1999969482422,85,217,650,1301,1185,723,29,867,1301,3353,4076,4105,4.25,12.75,25.5,42.5,42.5,1.7000000476837158,17,25.5,85,127.5,129.1999969482422,85,0.008999999612569809,0.052000001072883606,0.13099999725818634,0.15199999511241913,0.15199999511241913,85,150,180,0,NA,100,1427775
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,100,1427806
6.400000095367432,19.200000762939453,38.400001525878906,63.84000015258789,56,53.7599983215332,25.600000381469727,38.400001525878906,127.83999633789062,183.83999633789062,237.60000610351562,4,12,24,40,40,38.400001525878906,16,24,80,120,158.39999389648438,80,366,710,1226,2027,1202,1154,1077,1486,4330,5532,6686,4,12,24,40,40,38.400001525878906,16,24,80,120,158.39999389648438,80,0.12700000405311584,0.3070000112056732,0.34599998593330383,0.3050000071525574,0.34599998593330383,80,150,230,0,NA,100,1427809
3.5999999046325684,17.520000457763672,38.400001525878906,63.84000015258789,56,53.7599983215332,21.1200008392334,33.91999816894531,123.36000061035156,179.36000061035156,233.1199951171875,4,12,24,40,40,38.400001525878906,16,24,80,120,158.39999389648438,80,290,665,1226,2027,1202,1154,955,1364,4208,5410,6564,4,12,24,40,40,38.400001525878906,16,24,80,120,158.39999389648438,80,0.12099999934434891,0.2919999957084656,0.32899999618530273,0.27799999713897705,0.32899999618530273,80,150,224,0,NA,100,1427812
